Grid Ref: Easting,Grid Ref: Northing,Number of Vehicles,Accident Date,Time (24hr),1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Type of Vehicle,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty
429427,433921,2,2014-01-01,14:15:00,A(M),Dry,Daylight: Street lights present,Fine without high winds,Car,Passenger,Slight,Male,28
430481,433453,1,2014-01-01,00:05:00,Unclassified,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Passenger,Slight,Male,29
428515,437286,3,2014-01-01,02:20:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Female,21
429117,439812,1,2014-01-01,01:30:00,Unclassified,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Pedestrian,Serious,Female,34
429427,433921,2,2014-01-01,14:15:00,A(M),Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Male,34
433295,435556,3,2014-01-01,15:45:00,Unclassified,Wet/Damp,Daylight: Street lights present,Raining without high winds,Car,Driver,Slight,Male,34
429111,433665,1,2014-01-01,15:37:00,A,Wet/Damp,Daylight: Street lights present,Raining without high winds,Car,Driver,Slight,Female,29
427125,438261,1,2014-01-01,18:30:00,A,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Car,Driver,Slight,Male,24
440172,433411,2,2014-01-01,11:55:00,A,Wet/Damp,Daylight: Street lights present,Raining with high winds,Car,Passenger,Slight,Male,15
440329,434718,1,2014-01-01,12:40:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Serious,Male,26
430481,433453,1,2014-01-01,00:05:00,Unclassified,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Passenger,Slight,Female,32
429175,431904,2,2014-01-01,18:40:00,Unclassified,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Car,Driver,Slight,Male,58
428564,431616,2,2014-01-01,08:30:00,Motorway,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Female,34
434998,435273,1,2014-01-01,16:20:00,Unclassified,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Pedestrian,Serious,Male,16
426278,435586,2,2014-01-01,12:25:00,B,Wet/Damp,Daylight: Street lights present,Fine without high winds,Motorcycle,Driver,Slight,Male,29
428085,432932,1,2014-01-02,12:20:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Pedestrian,Slight,Male,12
432525,427555,2,2014-01-02,14:15:00,A,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Passenger,Slight,Female,27
418960,442012,2,2014-01-02,15:30:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver,Slight,Female,20
437937,427455,2,2014-01-03,09:40:00,A,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Female,37
429792,434446,2,2014-01-03,10:05:00,A,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Male,65
429792,434446,2,2014-01-03,10:05:00,A,Dry,Daylight: Street lights present,Fine without high winds,Car,Passenger,Slight,Female,49
427167,427445,1,2014-01-03,10:25:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Bus,Passenger,Slight,Female,27
429817,433660,1,2014-01-03,19:10:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Pedestrian,Serious,Female,27
431311,427066,2,2014-01-04,18:54:00,A,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Male,44
440983,432067,2,2014-01-04,09:35:00,A,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Driver,Serious,Male,37
433315,426321,2,2014-01-05,21:25:00,B,Wet/Damp,Darkness: Street lights present and lit,Raining with high winds,Car,Driver,Slight,Female,22
429389,434938,2,2014-01-06,16:10:00,A,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Pedal cycle,Driver,Slight,Female,21
441116,449118,2,2014-01-07,02:40:00,A(M),Wet/Damp,Darkness: No street lighting,Fine with high winds,Goods vehicle,Driver,Serious,Male,60
431546,434328,1,2014-01-07,22:45:00,Unclassified,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Pedestrian,Serious,Male,26
441116,449118,2,2014-01-07,02:40:00,A(M),Wet/Damp,Darkness: No street lighting,Fine with high winds,Goods vehicle,Passenger,Slight,Male,61
440421,449246,2,2014-01-07,07:45:00,B,Wet/Damp,Daylight: Street lights present,Fine without high winds,Motorcycle,Driver,Slight,Male,54
434258,427830,2,2014-01-07,17:15:00,A,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Driver,Slight,Female,46
434258,427830,2,2014-01-07,17:15:00,A,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Driver,Slight,Male,46
434258,427830,2,2014-01-07,17:15:00,A,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Passenger,Slight,Female,39
441116,449118,2,2014-01-07,02:40:00,A(M),Wet/Damp,Darkness: No street lighting,Fine with high winds,Goods vehicle,Driver,Serious,Male,41
430866,436342,1,2014-01-08,13:20:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Pedestrian,Serious,Female,74
430429,431025,3,2014-01-08,14:30:00,Motorway,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Male,69
430429,431025,3,2014-01-08,14:30:00,Motorway,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Female,41
423875,434542,2,2014-01-08,07:14:00,C,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver,Slight,Male,45
431966,435828,1,2014-01-08,16:06:00,A,Dry,Daylight: Street lights present,Fine without high winds,Car,Pedestrian,Slight,Male,14
431510,432625,2,2014-01-08,09:05:00,A,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Female,25
427514,434540,1,2014-01-08,20:18:00,Unclassified,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Car,Pedestrian,Slight,Female,33
427514,434540,1,2014-01-08,20:18:00,Unclassified,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Car,Pedestrian,Slight,Male,37
426288,435597,1,2014-01-08,18:25:00,A,Dry,Daylight: Street lights present,Fine without high winds,Car,Pedestrian,Slight,Female,28
436093,445402,≥4,2014-01-09,12:45:00,A,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Male,64
436093,445402,≥4,2014-01-09,12:45:00,A,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Female,37
